
=== NEW SESSION STARTED AT 2026-06-19 16:05:43.421815 ===
[WORLD] Dynamic Chunk System Initialized. Pool size: 144
[SLOW DRAW] Total: 23.24ms | Cull: 0.03ms | Opaque: 0.00ms | Trans: 21.96ms
[SLOW DRAW] Total: 5.73ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.48ms
[SLOW DRAW] Total: 6.65ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.67ms
[SLOW DRAW] Total: 129.50ms | Cull: 0.09ms | Opaque: 0.00ms | Trans: 97.08ms
[SLOW DRAW] Total: 5.25ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.95ms
[SLOW DRAW] Total: 7.46ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 7.22ms
[SLOW DRAW] Total: 88.49ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 55.85ms
[SLOW DRAW] Total: 5.23ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.96ms
[SLOW DRAW] Total: 4.54ms | Cull: 0.03ms | Opaque: 0.00ms | Trans: 4.34ms
[SLOW DRAW] Total: 108.97ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 108.70ms
[SLOW DRAW] Total: 5.50ms | Cull: 0.08ms | Opaque: 0.00ms | Trans: 2.42ms
[SLOW DRAW] Total: 4.00ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.75ms
[SLOW DRAW] Total: 18.92ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.55ms
[SLOW DRAW] Total: 101.72ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 69.42ms
[SLOW DRAW] Total: 5.01ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.70ms
[SLOW DRAW] Total: 7.19ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 6.81ms
[SLOW DRAW] Total: 91.07ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 54.01ms
[SLOW DRAW] Total: 6.11ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.85ms
[SLOW DRAW] Total: 131.25ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 89.11ms
[SLOW DRAW] Total: 5.13ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.52ms
[SLOW DRAW] Total: 16.87ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 16.51ms
[SLOW DRAW] Total: 53.34ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 53.07ms
[SLOW DRAW] Total: 5.22ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.89ms
[SLOW DRAW] Total: 5.81ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.58ms
[SLOW DRAW] Total: 136.03ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 103.56ms
[SLOW DRAW] Total: 10.55ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 7.90ms
[SLOW DRAW] Total: 7.45ms | Cull: 0.09ms | Opaque: 0.00ms | Trans: 6.95ms
[SLOW DRAW] Total: 77.12ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 44.79ms
[SLOW DRAW] Total: 59.89ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 39.74ms
[SLOW DRAW] Total: 5.33ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.79ms
[SLOW DRAW] Total: 235.99ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 198.70ms
[SLOW DRAW] Total: 10.91ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 10.61ms
[SLOW DRAW] Total: 7.06ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 6.74ms

=== NEW SESSION STARTED AT 2026-06-19 16:07:13.134167 ===
[WORLD] Dynamic Chunk System Initialized. Pool size: 17424
  [_update_chunk_loading] took 15.37ms
[SLOW UPDATE] Total: 16.35ms | Load: 16.21ms | Queues: 0.09ms | Player: 0.00ms
[SLOW DRAW] Total: 796.22ms | Cull: 789.10ms | Opaque: 0.00ms | Trans: 5.07ms
[SLOW DRAW] Total: 57.57ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 28.91ms
[SLOW DRAW] Total: 73.60ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 59.40ms
[SLOW DRAW] Total: 7.10ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.58ms
[SLOW DRAW] Total: 6.42ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.93ms
[SLOW DRAW] Total: 173.42ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 173.11ms
[SLOW DRAW] Total: 6.41ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 6.11ms
[SLOW DRAW] Total: 13.88ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 11.55ms
[SLOW DRAW] Total: 6.77ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 6.39ms
[SLOW DRAW] Total: 5.05ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.66ms
[SLOW DRAW] Total: 21.61ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 8.99ms
[SLOW DRAW] Total: 206.37ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 175.05ms
[SLOW DRAW] Total: 4.60ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.20ms
[SLOW DRAW] Total: 8.86ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 8.57ms
[SLOW DRAW] Total: 4.73ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.46ms
[SLOW DRAW] Total: 96.14ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 79.95ms
[SLOW DRAW] Total: 6.04ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.03ms
[SLOW DRAW] Total: 4.18ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.75ms
[SLOW DRAW] Total: 6.40ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 6.11ms
[SLOW DRAW] Total: 5.76ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.53ms
[SLOW DRAW] Total: 113.51ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 81.55ms
[SLOW DRAW] Total: 18.61ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 15.83ms
[SLOW DRAW] Total: 65.56ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 38.14ms
[SLOW DRAW] Total: 8.78ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 8.55ms
[SLOW DRAW] Total: 9.22ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 8.99ms
[SLOW DRAW] Total: 5.47ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 5.19ms
[SLOW DRAW] Total: 5.00ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.41ms
[SLOW DRAW] Total: 22.94ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 3.22ms
[SLOW DRAW] Total: 115.70ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 87.62ms
[SLOW DRAW] Total: 8.51ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 8.28ms
[SLOW DRAW] Total: 6.69ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 5.85ms
[SLOW DRAW] Total: 11.25ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.95ms
[SLOW DRAW] Total: 33.32ms | Cull: 0.05ms | Opaque: 0.01ms | Trans: 2.67ms
[SLOW DRAW] Total: 4.26ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.70ms
[SLOW DRAW] Total: 74.35ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 45.47ms
[SLOW DRAW] Total: 4.59ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.38ms
[SLOW DRAW] Total: 19.23ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 2.77ms
[SLOW DRAW] Total: 18.04ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 17.82ms
[SLOW DRAW] Total: 50.39ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 25.83ms
[SLOW DRAW] Total: 12.02ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 11.65ms
[SLOW DRAW] Total: 69.40ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 37.11ms
[SLOW DRAW] Total: 4.90ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 4.62ms
[SLOW DRAW] Total: 6.24ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.96ms
[SLOW DRAW] Total: 73.38ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 41.29ms
[SLOW DRAW] Total: 25.26ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 24.47ms
[SLOW DRAW] Total: 76.44ms | Cull: 0.04ms | Opaque: 0.01ms | Trans: 45.04ms
[SLOW DRAW] Total: 5.10ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.40ms
[SLOW DRAW] Total: 4.03ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.10ms
[SLOW DRAW] Total: 90.06ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 89.80ms
[SLOW DRAW] Total: 12.15ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 11.89ms
[SLOW DRAW] Total: 11.66ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 11.23ms
[SLOW DRAW] Total: 97.56ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 65.75ms
[SLOW DRAW] Total: 4.96ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.73ms
[SLOW DRAW] Total: 4.07ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.76ms
[SLOW DRAW] Total: 35.61ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 18.65ms
[SLOW DRAW] Total: 58.54ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 26.17ms
[SLOW DRAW] Total: 4.28ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.56ms
[SLOW DRAW] Total: 60.61ms | Cull: 0.03ms | Opaque: 0.00ms | Trans: 48.87ms
[SLOW DRAW] Total: 7.38ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 7.05ms
[SLOW DRAW] Total: 39.34ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 39.10ms
[SLOW DRAW] Total: 35.24ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 32.00ms
[SLOW DRAW] Total: 13.75ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 13.34ms
[SLOW DRAW] Total: 244.01ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 212.16ms
[SLOW DRAW] Total: 5.96ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.34ms
[SLOW DRAW] Total: 668.11ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 630.57ms
[SLOW DRAW] Total: 12.65ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 9.38ms
[SLOW DRAW] Total: 4.34ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 2.59ms
[SLOW DRAW] Total: 10.96ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.66ms
[SLOW DRAW] Total: 86.37ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 82.65ms
[SLOW DRAW] Total: 8.30ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 8.04ms
[SLOW DRAW] Total: 7.43ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 6.29ms
[SLOW DRAW] Total: 115.88ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 73.80ms
[SLOW DRAW] Total: 4.43ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.20ms
[SLOW DRAW] Total: 161.09ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 139.84ms
[SLOW DRAW] Total: 10.75ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 2.39ms
